iter,case,relation,is_new_relation,classification_source,head_type,tail_type,definition
iter0,case1_name_only,CEO,True,inferred_from_base_schema,Company,CEO,indicates that a company is led by a chief executive officer
iter0,case1_name_only,aboveSeaLevel,True,inferred_from_base_schema,City,AboveSeaLevel,indicates that a city is located above a certain sea level
iter0,case1_name_only,absoluteMagnitude,False,inferred_from_base_schema,Asteroid,AbsoluteMagnitude,indicates that an asteroid has a specific absolute magnitude
iter0,case1_name_only,absolute_magnitude,False,inferred_from_base_schema,CelestialBody,AbsoluteMagnitude,represents the relationship where an asteroid has a specific brightness measurement
iter0,case1_name_only,actedIn,True,inferred_from_base_schema,Actor,TelevisionSeries,indicates that an actor starred in a television series
iter0,case1_name_only,actor,True,inferred_from_base_schema,TelevisionShow,Actor,indicates that a show features actors in its cast
iter0,case1_name_only,address,False,inferred_from_base_schema,ArchitecturalStructure,GeographicLocation,indicates that an architectural structure has a specific physical address
iter0,case1_name_only,adjacentCounty,True,inferred_from_base_schema,County,County,represents the relationship where one county is geographically adjacent to another county
iter0,case1_name_only,affiliatedWith,False,inferred_from_base_schema,EducationalInstitution,University,represents the relationship where an educational institution is associated with a university
iter0,case1_name_only,affiliation,True,inferred_from_base_schema,Institute,University,indicates that an educational institution is associated with a university for academic purposes
iter0,case1_name_only,airedBananaman,True,inferred_from_base_schema,BroadcastNetwork,TVSeries,represents the relationship where a broadcast network broadcasts a TV series
iter0,case1_name_only,airedOn,True,inferred_from_base_schema,TVSeries,BroadcastingCompany,indicates that a TV series is broadcasted by a specific broadcasting company
iter0,case1_name_only,airedShowOn,True,inferred_from_base_schema,BroadcastingCompany,EventDate,indicates that a broadcasting company aired a show on a specific date
iter0,case1_name_only,altitudeAboveSeaLevel,False,inferred_from_base_schema,Airport,Altitude,indicates that an airport is at a specific altitude above sea level
iter0,case1_name_only,annualRevenue,False,inferred_from_base_schema,Company,AnnualRevenue,represents the total revenue generated by a company in a fiscal year
iter0,case1_name_only,anthem,True,inferred_from_base_schema,Monarchy,NationalAnthem,represents the relationship where a monarchy has a national anthem
iter0,case1_name_only,apoapsis,False,inferred_from_base_schema,Asteroid,Apoapsis,indicates that an asteroid has a specific apoapsis distance
